Info positions : [3 5 6 7]
Target Info positions : [3 5 6 7]
Frozen positions : [0 1 2 4]
Code : polar 
Rate Profile : polar
Batch size : 8192
Validation SNR : 3.0
Number of heads : 1
Number of layers: 2
Positional encoding : static
Layers : compelete
Print frequency: 100
Num of steps: 100000
8
Training Model for 4,8 anew
Number of parameters : 1781
Did not find standard validation data
Need to save for: 5000
[0/100000] At 3 dB, Loss: 1.4184008, Train BER (3 dB) : 0.5200806, Valid BER: 0.5095215, Tgt BER: 0.5095215, Noiseless BER 0.5000000, Valid BLER : 0.9974365
[4000/100000] At 3 dB, Loss: 0.3317580, Train BER (3 dB) : 0.1120911, Valid BER: 0.0946655, Tgt BER: 0.0946655, Noiseless BER 0.0000000, Valid BLER : 0.2360840
[4100/100000] At 3 dB, Loss: 0.3378626, Train BER (3 dB) : 0.1133728, Valid BER: 0.0947266, Tgt BER: 0.0947266, Noiseless BER 0.0000000, Valid BLER : 0.2336426
[4200/100000] At 3 dB, Loss: 0.3319569, Train BER (3 dB) : 0.1114197, Valid BER: 0.0942993, Tgt BER: 0.0942993, Noiseless BER 0.0000000, Valid BLER : 0.2341309
[4300/100000] At 3 dB, Loss: 0.3275921, Train BER (3 dB) : 0.1102600, Valid BER: 0.0932007, Tgt BER: 0.0932007, Noiseless BER 0.0000000, Valid BLER : 0.2370605
[4400/100000] At 3 dB, Loss: 0.3310804, Train BER (3 dB) : 0.1107178, Valid BER: 0.0932617, Tgt BER: 0.0932617, Noiseless BER 0.0000000, Valid BLER : 0.2351074
[4500/100000] At 3 dB, Loss: 0.3268263, Train BER (3 dB) : 0.1088867, Valid BER: 0.0943298, Tgt BER: 0.0943298, Noiseless BER 0.0000000, Valid BLER : 0.2340088
[4600/100000] At 3 dB, Loss: 0.3367498, Train BER (3 dB) : 0.1145325, Valid BER: 0.0938110, Tgt BER: 0.0938110, Noiseless BER 0.0000000, Valid BLER : 0.2386475
[4700/100000] At 3 dB, Loss: 0.3272545, Train BER (3 dB) : 0.1099854, Valid BER: 0.0989075, Tgt BER: 0.0989075, Noiseless BER 0.0000000, Valid BLER : 0.2425537
[4800/100000] At 3 dB, Loss: 0.3158611, Train BER (3 dB) : 0.1077576, Valid BER: 0.0936584, Tgt BER: 0.0936584, Noiseless BER 0.0000000, Valid BLER : 0.2344971
[4900/100000] At 3 dB, Loss: 0.3280581, Train BER (3 dB) : 0.1105957, Valid BER: 0.0949402, Tgt BER: 0.0949402, Noiseless BER 0.0000000, Valid BLER : 0.2421875
[5000/100000] At 3 dB, Loss: 0.3250282, Train BER (3 dB) : 0.1099243, Valid BER: 0.0898438, Tgt BER: 0.0898438, Noiseless BER 0.0000000, Valid BLER : 0.2309570
[5100/100000] At 3 dB, Loss: 0.3278952, Train BER (3 dB) : 0.1103210, Valid BER: 0.0943604, Tgt BER: 0.0943604, Noiseless BER 0.0000000, Valid BLER : 0.2387695
[5200/100000] At 3 dB, Loss: 0.3438447, Train BER (3 dB) : 0.1169128, Valid BER: 0.0958862, Tgt BER: 0.0958862, Noiseless BER 0.0000000, Valid BLER : 0.2452393
[5300/100000] At 3 dB, Loss: 0.3347088, Train BER (3 dB) : 0.1131592, Valid BER: 0.0916443, Tgt BER: 0.0916443, Noiseless BER 0.0000000, Valid BLER : 0.2288818
[5400/100000] At 3 dB, Loss: 0.3197218, Train BER (3 dB) : 0.1074219, Valid BER: 0.0935364, Tgt BER: 0.0935364, Noiseless BER 0.0000000, Valid BLER : 0.2373047
[5500/100000] At 3 dB, Loss: 0.3148404, Train BER (3 dB) : 0.1053467, Valid BER: 0.0904846, Tgt BER: 0.0904846, Noiseless BER 0.0000000, Valid BLER : 0.2333984
[5600/100000] At 3 dB, Loss: 0.3208045, Train BER (3 dB) : 0.1081848, Valid BER: 0.0903015, Tgt BER: 0.0903015, Noiseless BER 0.0000000, Valid BLER : 0.2292480
[5700/100000] At 3 dB, Loss: 0.3270178, Train BER (3 dB) : 0.1105347, Valid BER: 0.0946655, Tgt BER: 0.0946655, Noiseless BER 0.0000000, Valid BLER : 0.2407227
[5800/100000] At 3 dB, Loss: 0.3166307, Train BER (3 dB) : 0.1048584, Valid BER: 0.0933228, Tgt BER: 0.0933228, Noiseless BER 0.0000000, Valid BLER : 0.2352295
[5900/100000] At 3 dB, Loss: 0.3240348, Train BER (3 dB) : 0.1093140, Valid BER: 0.0918274, Tgt BER: 0.0918274, Noiseless BER 0.0000000, Valid BLER : 0.2395020
[6000/100000] At 3 dB, Loss: 0.3179446, Train BER (3 dB) : 0.1074524, Valid BER: 0.0921326, Tgt BER: 0.0921326, Noiseless BER 0.0000000, Valid BLER : 0.2342529
[6100/100000] At 3 dB, Loss: 0.3226546, Train BER (3 dB) : 0.1089172, Valid BER: 0.0904236, Tgt BER: 0.0904236, Noiseless BER 0.0000000, Valid BLER : 0.2249756
[6200/100000] At 3 dB, Loss: 0.3197505, Train BER (3 dB) : 0.1064453, Valid BER: 0.0880737, Tgt BER: 0.0880737, Noiseless BER 0.0000000, Valid BLER : 0.2254639
[6300/100000] At 3 dB, Loss: 0.3058100, Train BER (3 dB) : 0.1014099, Valid BER: 0.0868225, Tgt BER: 0.0868225, Noiseless BER 0.0000000, Valid BLER : 0.2213135
[6400/100000] At 3 dB, Loss: 0.3218670, Train BER (3 dB) : 0.1089783, Valid BER: 0.0899658, Tgt BER: 0.0899658, Noiseless BER 0.0000000, Valid BLER : 0.2281494
[6500/100000] At 3 dB, Loss: 0.3153141, Train BER (3 dB) : 0.1067200, Valid BER: 0.0898132, Tgt BER: 0.0898132, Noiseless BER 0.0000000, Valid BLER : 0.2248535
[6600/100000] At 3 dB, Loss: 0.3233674, Train BER (3 dB) : 0.1087646, Valid BER: 0.0903931, Tgt BER: 0.0903931, Noiseless BER 0.0000000, Valid BLER : 0.2301025
[6700/100000] At 3 dB, Loss: 0.3184020, Train BER (3 dB) : 0.1062622, Valid BER: 0.0910034, Tgt BER: 0.0910034, Noiseless BER 0.0000000, Valid BLER : 0.2310791
[6800/100000] At 3 dB, Loss: 0.3246200, Train BER (3 dB) : 0.1091614, Valid BER: 0.0925903, Tgt BER: 0.0925903, Noiseless BER 0.0000000, Valid BLER : 0.2304688
[6900/100000] At 3 dB, Loss: 0.3221565, Train BER (3 dB) : 0.1071777, Valid BER: 0.0885010, Tgt BER: 0.0885010, Noiseless BER 0.0000000, Valid BLER : 0.2216797
[7000/100000] At 3 dB, Loss: 0.3166930, Train BER (3 dB) : 0.1080933, Valid BER: 0.0896912, Tgt BER: 0.0896912, Noiseless BER 0.0000000, Valid BLER : 0.2281494
[7100/100000] At 3 dB, Loss: 0.3171126, Train BER (3 dB) : 0.1076050, Valid BER: 0.0896912, Tgt BER: 0.0896912, Noiseless BER 0.0000000, Valid BLER : 0.2244873
[7200/100000] At 3 dB, Loss: 0.3065797, Train BER (3 dB) : 0.1041260, Valid BER: 0.0833740, Tgt BER: 0.0833740, Noiseless BER 0.0000000, Valid BLER : 0.2137451
[7300/100000] At 3 dB, Loss: 0.3217307, Train BER (3 dB) : 0.1078796, Valid BER: 0.0872498, Tgt BER: 0.0872498, Noiseless BER 0.0000000, Valid BLER : 0.2211914
[7400/100000] At 3 dB, Loss: 0.3199162, Train BER (3 dB) : 0.1082153, Valid BER: 0.0884094, Tgt BER: 0.0884094, Noiseless BER 0.0000000, Valid BLER : 0.2239990
[7500/100000] At 3 dB, Loss: 0.3212808, Train BER (3 dB) : 0.1084595, Valid BER: 0.0876770, Tgt BER: 0.0876770, Noiseless BER 0.0000000, Valid BLER : 0.2193604
[7600/100000] At 3 dB, Loss: 0.3155453, Train BER (3 dB) : 0.1058350, Valid BER: 0.0866699, Tgt BER: 0.0866699, Noiseless BER 0.0000000, Valid BLER : 0.2209473
[7700/100000] At 3 dB, Loss: 0.3242140, Train BER (3 dB) : 0.1106262, Valid BER: 0.0870056, Tgt BER: 0.0870056, Noiseless BER 0.0000000, Valid BLER : 0.2153320
[7800/100000] At 3 dB, Loss: 0.3129627, Train BER (3 dB) : 0.1053772, Valid BER: 0.0843506, Tgt BER: 0.0843506, Noiseless BER 0.0000000, Valid BLER : 0.2145996
[7900/100000] At 3 dB, Loss: 0.3083152, Train BER (3 dB) : 0.1029053, Valid BER: 0.0841675, Tgt BER: 0.0841675, Noiseless BER 0.0000000, Valid BLER : 0.2154541
[8000/100000] At 3 dB, Loss: 0.3100263, Train BER (3 dB) : 0.1046143, Valid BER: 0.0886230, Tgt BER: 0.0886230, Noiseless BER 0.0000000, Valid BLER : 0.2214355
[8100/100000] At 3 dB, Loss: 0.3084273, Train BER (3 dB) : 0.1038818, Valid BER: 0.0890503, Tgt BER: 0.0890503, Noiseless BER 0.0000000, Valid BLER : 0.2214355
[8200/100000] At 3 dB, Loss: 0.3107670, Train BER (3 dB) : 0.1048279, Valid BER: 0.0879517, Tgt BER: 0.0879517, Noiseless BER 0.0000000, Valid BLER : 0.2249756
[8300/100000] At 3 dB, Loss: 0.3206202, Train BER (3 dB) : 0.1083679, Valid BER: 0.0824890, Tgt BER: 0.0824890, Noiseless BER 0.0000000, Valid BLER : 0.2094727
[8400/100000] At 3 dB, Loss: 0.3064646, Train BER (3 dB) : 0.1038818, Valid BER: 0.0886841, Tgt BER: 0.0886841, Noiseless BER 0.0000000, Valid BLER : 0.2213135
[8500/100000] At 3 dB, Loss: 0.3067052, Train BER (3 dB) : 0.1048279, Valid BER: 0.0878601, Tgt BER: 0.0878601, Noiseless BER 0.0000000, Valid BLER : 0.2181396
[8600/100000] At 3 dB, Loss: 0.3230710, Train BER (3 dB) : 0.1082458, Valid BER: 0.0870972, Tgt BER: 0.0870972, Noiseless BER 0.0000000, Valid BLER : 0.2138672
[8700/100000] At 3 dB, Loss: 0.3119740, Train BER (3 dB) : 0.1036987, Valid BER: 0.0834961, Tgt BER: 0.0834961, Noiseless BER 0.0000000, Valid BLER : 0.2098389
[8800/100000] At 3 dB, Loss: 0.3054689, Train BER (3 dB) : 0.1035461, Valid BER: 0.0832520, Tgt BER: 0.0832520, Noiseless BER 0.0000000, Valid BLER : 0.2076416
[8900/100000] At 3 dB, Loss: 0.3175259, Train BER (3 dB) : 0.1074219, Valid BER: 0.0845947, Tgt BER: 0.0845947, Noiseless BER 0.0000000, Valid BLER : 0.2108154
[9000/100000] At 3 dB, Loss: 0.3130242, Train BER (3 dB) : 0.1053162, Valid BER: 0.0802917, Tgt BER: 0.0802917, Noiseless BER 0.0000000, Valid BLER : 0.2036133
[9100/100000] At 3 dB, Loss: 0.3173831, Train BER (3 dB) : 0.1081848, Valid BER: 0.0848083, Tgt BER: 0.0848083, Noiseless BER 0.0000000, Valid BLER : 0.2122803
[9200/100000] At 3 dB, Loss: 0.3052678, Train BER (3 dB) : 0.1018372, Valid BER: 0.0813904, Tgt BER: 0.0813904, Noiseless BER 0.0000000, Valid BLER : 0.2043457
[9300/100000] At 3 dB, Loss: 0.3165410, Train BER (3 dB) : 0.1054688, Valid BER: 0.0785217, Tgt BER: 0.0785217, Noiseless BER 0.0000000, Valid BLER : 0.2019043
[9400/100000] At 3 dB, Loss: 0.3163328, Train BER (3 dB) : 0.1066589, Valid BER: 0.0858765, Tgt BER: 0.0858765, Noiseless BER 0.0000000, Valid BLER : 0.2080078
[9500/100000] At 3 dB, Loss: 0.3109482, Train BER (3 dB) : 0.1033325, Valid BER: 0.0838623, Tgt BER: 0.0838623, Noiseless BER 0.0000000, Valid BLER : 0.2126465
[9600/100000] At 3 dB, Loss: 0.3178154, Train BER (3 dB) : 0.1094055, Valid BER: 0.0866394, Tgt BER: 0.0866394, Noiseless BER 0.0000000, Valid BLER : 0.2130127
[9700/100000] At 3 dB, Loss: 0.3114090, Train BER (3 dB) : 0.1040649, Valid BER: 0.0845032, Tgt BER: 0.0845032, Noiseless BER 0.0000000, Valid BLER : 0.2054443
[9800/100000] At 3 dB, Loss: 0.3115266, Train BER (3 dB) : 0.1051636, Valid BER: 0.0850220, Tgt BER: 0.0850220, Noiseless BER 0.0000000, Valid BLER : 0.2054443
