Info positions : [ 7  9 10 11 12 13 14 15]
Target Info positions : [ 7  9 10 11 12 13 14 15]
Frozen positions : [0 1 2 3 4 5 6 8]
embed dim : 64 
Batch size : 8192
Validation SNR : -2.0
Train SNR : -2.0
load training data? True
Number of heads : 8
Number of layers: 6
Positional encoding : static
Print frequency: 100
Num of steps: 150000
combinational training snr:  True
64
Training Model for 8,16 anew
Number of parameters : 299661
Did not find standard validation data
Need to save for: 1000
tensor([[-1., -1., -1., -1., -1., -1., -1., -1.]], device='cuda:0')
tensor([[ 1.,  1., -1., -1., -1., -1., -1.,  1.]], device='cuda:0')
[0/150000] At -2 dB, Loss: 1.2840062, Train BER (-2 dB) : 0.5527649, Valid BER: 0.4607086, Tgt BER: 0.4607086, Noiseless BER 0.4135742, Valid BLER : 0.9862061
[3900/150000] At -2 dB, Loss: 0.2679639, Train BER (-2 dB) : 0.0914459, Valid BER: 0.3110199, Tgt BER: 0.3110199, Noiseless BER 0.0000000, Valid BLER : 0.7395020
[4000/150000] At -2 dB, Loss: 0.2626677, Train BER (-2 dB) : 0.0899811, Valid BER: 0.3102112, Tgt BER: 0.3102112, Noiseless BER 0.0000000, Valid BLER : 0.7474365
[4100/150000] At -2 dB, Loss: 0.2673962, Train BER (-2 dB) : 0.0921783, Valid BER: 0.3120117, Tgt BER: 0.3120117, Noiseless BER 0.0000000, Valid BLER : 0.7498779
[4200/150000] At -2 dB, Loss: 0.2573745, Train BER (-2 dB) : 0.0878906, Valid BER: 0.3112488, Tgt BER: 0.3112488, Noiseless BER 0.0000000, Valid BLER : 0.7470703
[4300/150000] At -2 dB, Loss: 0.2607297, Train BER (-2 dB) : 0.0894012, Valid BER: 0.3130341, Tgt BER: 0.3130341, Noiseless BER 0.0000000, Valid BLER : 0.7558594
[4400/150000] At -2 dB, Loss: 0.2618814, Train BER (-2 dB) : 0.0894470, Valid BER: 0.3131561, Tgt BER: 0.3131561, Noiseless BER 0.0000000, Valid BLER : 0.7476807
[4500/150000] At -2 dB, Loss: 0.2723354, Train BER (-2 dB) : 0.0925903, Valid BER: 0.3048401, Tgt BER: 0.3048401, Noiseless BER 0.0000000, Valid BLER : 0.7460938
[4600/150000] At -2 dB, Loss: 0.2651042, Train BER (-2 dB) : 0.0892792, Valid BER: 0.3083801, Tgt BER: 0.3083801, Noiseless BER 0.0000000, Valid BLER : 0.7429199
[4700/150000] At -2 dB, Loss: 0.2635533, Train BER (-2 dB) : 0.0911713, Valid BER: 0.3139801, Tgt BER: 0.3139801, Noiseless BER 0.0000000, Valid BLER : 0.7460938
[4800/150000] At -2 dB, Loss: 0.2710015, Train BER (-2 dB) : 0.0919189, Valid BER: 0.3126068, Tgt BER: 0.3126068, Noiseless BER 0.0000000, Valid BLER : 0.7506104
[4900/150000] At -2 dB, Loss: 0.2597710, Train BER (-2 dB) : 0.0895996, Valid BER: 0.3115692, Tgt BER: 0.3115692, Noiseless BER 0.0000000, Valid BLER : 0.7525635
