Info positions : [ 7  9 10 11 12 13 14 15]
Target Info positions : [ 7  9 10 11 12 13 14 15]
Frozen positions : [0 1 2 3 4 5 6 8]
embed dim : 64 
Batch size : 8192
Validation SNR : 3.0
Train SNR : 10.0
load training data? True
Number of heads : 1
Number of layers: 3
Positional encoding : static
Print frequency: 100
Num of steps: 200000
combinational training snr:  False
64
Training Model for 8,16 anew
Number of parameters : 150471
Did not find standard validation data
Need to save for: 1000
tensor([[-1., -1., -1., -1., -1., -1., -1., -1.]], device='cuda:0')
tensor([[ 1.,  1., -1., -1., -1., -1., -1.,  1.]], device='cuda:0')
[0/200000] At 3 dB, Loss: 1.1041287, Train BER (10 dB) : 0.5189209, Valid BER: 0.4546814, Tgt BER: 0.4546814, Noiseless BER 0.4462738, Valid BLER : 0.9486084
[6800/200000] At 3 dB, Loss: 0.0092094, Train BER (10 dB) : 0.0022430, Valid BER: 0.1737518, Tgt BER: 0.1737518, Noiseless BER 0.0000000, Valid BLER : 0.4783936
[6900/200000] At 3 dB, Loss: 0.0105447, Train BER (10 dB) : 0.0025940, Valid BER: 0.1770935, Tgt BER: 0.1770935, Noiseless BER 0.0000000, Valid BLER : 0.4837646
[7000/200000] At 3 dB, Loss: 0.0069912, Train BER (10 dB) : 0.0016785, Valid BER: 0.1746521, Tgt BER: 0.1746521, Noiseless BER 0.0000000, Valid BLER : 0.4772949
[7100/200000] At 3 dB, Loss: 0.0084727, Train BER (10 dB) : 0.0021210, Valid BER: 0.1753998, Tgt BER: 0.1753998, Noiseless BER 0.0000000, Valid BLER : 0.4764404
[7200/200000] At 3 dB, Loss: 0.0090203, Train BER (10 dB) : 0.0022125, Valid BER: 0.1753387, Tgt BER: 0.1753387, Noiseless BER 0.0000000, Valid BLER : 0.4840088
[7300/200000] At 3 dB, Loss: 0.0081899, Train BER (10 dB) : 0.0019836, Valid BER: 0.1775665, Tgt BER: 0.1775665, Noiseless BER 0.0000000, Valid BLER : 0.4865723
[7400/200000] At 3 dB, Loss: 0.0120512, Train BER (10 dB) : 0.0029907, Valid BER: 0.1724548, Tgt BER: 0.1724548, Noiseless BER 0.0000000, Valid BLER : 0.4830322
[7500/200000] At 3 dB, Loss: 0.0071567, Train BER (10 dB) : 0.0017548, Valid BER: 0.1740875, Tgt BER: 0.1740875, Noiseless BER 0.0000000, Valid BLER : 0.4844971
[7600/200000] At 3 dB, Loss: 0.0102004, Train BER (10 dB) : 0.0025177, Valid BER: 0.1748352, Tgt BER: 0.1748352, Noiseless BER 0.0000000, Valid BLER : 0.4865723
[7700/200000] At 3 dB, Loss: 0.0104450, Train BER (10 dB) : 0.0025787, Valid BER: 0.1734314, Tgt BER: 0.1734314, Noiseless BER 0.0000000, Valid BLER : 0.4796143
[7800/200000] At 3 dB, Loss: 0.0095130, Train BER (10 dB) : 0.0023193, Valid BER: 0.1761780, Tgt BER: 0.1761780, Noiseless BER 0.0000000, Valid BLER : 0.4771729
[7900/200000] At 3 dB, Loss: 0.0074319, Train BER (10 dB) : 0.0018005, Valid BER: 0.1758423, Tgt BER: 0.1758423, Noiseless BER 0.0000000, Valid BLER : 0.4843750
[8000/200000] At 3 dB, Loss: 0.0095608, Train BER (10 dB) : 0.0023346, Valid BER: 0.1759796, Tgt BER: 0.1759796, Noiseless BER 0.0000000, Valid BLER : 0.4895020
[8100/200000] At 3 dB, Loss: 0.0058915, Train BER (10 dB) : 0.0014343, Valid BER: 0.1813049, Tgt BER: 0.1813049, Noiseless BER 0.0000000, Valid BLER : 0.4913330
[8200/200000] At 3 dB, Loss: 0.0074772, Train BER (10 dB) : 0.0018463, Valid BER: 0.1756439, Tgt BER: 0.1756439, Noiseless BER 0.0000000, Valid BLER : 0.4791260
[8300/200000] At 3 dB, Loss: 0.0066326, Train BER (10 dB) : 0.0016022, Valid BER: 0.1775513, Tgt BER: 0.1775513, Noiseless BER 0.0000000, Valid BLER : 0.4865723
[8400/200000] At 3 dB, Loss: 0.0072151, Train BER (10 dB) : 0.0017700, Valid BER: 0.1809082, Tgt BER: 0.1809082, Noiseless BER 0.0000000, Valid BLER : 0.4863281
[8500/200000] At 3 dB, Loss: 0.0082931, Train BER (10 dB) : 0.0020294, Valid BER: 0.1742249, Tgt BER: 0.1742249, Noiseless BER 0.0000000, Valid BLER : 0.4837646
[8600/200000] At 3 dB, Loss: 0.0079694, Train BER (10 dB) : 0.0019379, Valid BER: 0.1712646, Tgt BER: 0.1712646, Noiseless BER 0.0000000, Valid BLER : 0.4827881
[8700/200000] At 3 dB, Loss: 0.0087957, Train BER (10 dB) : 0.0021820, Valid BER: 0.1764526, Tgt BER: 0.1764526, Noiseless BER 0.0000000, Valid BLER : 0.4793701
[8800/200000] At 3 dB, Loss: 0.0082331, Train BER (10 dB) : 0.0020294, Valid BER: 0.1759644, Tgt BER: 0.1759644, Noiseless BER 0.0000000, Valid BLER : 0.4824219
[8900/200000] At 3 dB, Loss: 0.0096809, Train BER (10 dB) : 0.0023956, Valid BER: 0.1761780, Tgt BER: 0.1761780, Noiseless BER 0.0000000, Valid BLER : 0.4786377
[9000/200000] At 3 dB, Loss: 0.0073700, Train BER (10 dB) : 0.0017853, Valid BER: 0.1690521, Tgt BER: 0.1690521, Noiseless BER 0.0000000, Valid BLER : 0.4749756
[9100/200000] At 3 dB, Loss: 0.0083249, Train BER (10 dB) : 0.0020447, Valid BER: 0.1756439, Tgt BER: 0.1756439, Noiseless BER 0.0000000, Valid BLER : 0.4853516
