Example,Original_Message,Decoded_Bits,Polar_code,Binary_Corrupted_codeword,Corrupted_codeword,Output
10,"[1, 1, 1, 1, 0, 0, 1, 1]","[1, 1, 1, 1, 0, 0, 1, 1]",,"[0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1]","[0.27364, 1.09346, -2.08289, -1.43531, -0.81853, 1.65929, -0.24106, 0.35826, -1.42044, -1.37204, 0.58688, 0.13045, 0.40224, -0.66269, -0.15621, -1.4468]","[-1.0505, -1.04931, -1.06005, -1.05119, 1.05327, 1.05255, -1.04452, -1.05083]"
11,"[1, 1, 1, 1, 0, 0, 1, 0]","[1, 1, 1, 1, 0, 0, 1, 0]",,"[1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0]","[-1.47373, -1.24364, 0.98427, 0.8845, 1.18191, -1.26708, 0.78058, -0.91475, 1.27885, 2.03012, -1.97243, -0.84902, -0.517, 0.30573, -0.47769, 0.78817]","[-1.05232, -1.05356, -1.05282, -1.05354, 1.05114, 1.05165, -1.05353, 1.05143]"
12,"[1, 1, 1, 1, 0, 0, 0, 1]","[1, 1, 1, 1, 0, 0, 0, 1]",,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1]","[-1.03201, 1.86111, 0.9839, -0.59063, 0.72831, 0.12532, 2.31435, 1.96556, 1.19615, -1.17027, -0.29516, 1.91211, -2.60515, -0.27178, -0.77348, -0.31647]","[-1.05468, -1.05594, -1.05173, -1.0546, 1.05141, 1.05095, 1.05052, -1.05508]"
13,"[1, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0]",,"[0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0]","[1.50159, -0.40572, -1.41055, 0.01635, 0.21529, -1.13281, -0.99851, -0.15453, -1.40016, 1.39651, -0.49896, -1.85983, 0.50311, 1.95235, 1.12611, 0.4717]","[-1.0491, -1.03735, -1.02922, -1.03776, -0.84315, 1.05119, 1.05087, 1.0511]"
14,"[1, 1, 1, 0, 1, 1, 1, 0]","[1, 1, 1, 0, 0, 1, 1, 0]",,"[0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0]","[1.10866, -1.66616, -1.14135, -0.80155, -0.35303, 0.35767, 1.19092, -0.71144, -0.20299, 1.27741, 1.65276, 1.90185, 0.15551, -1.7549, -1.35, 0.18328]","[-1.04977, -1.04799, -1.0491, 1.05017, 1.04946, -1.04866, -1.04893, 1.05314]"
15,"[1, 1, 1, 0, 1, 1, 0, 1]","[1, 1, 1, 0, 1, 1, 0, 1]",,"[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1]","[0.71378, 0.96905, -0.69162, 0.74342, 1.98304, -0.75116, 0.67067, 0.90489, -1.20573, 0.06265, 1.80992, -0.67117, -1.41542, 1.05471, -1.19711, -0.01803]","[-1.05102, -1.06883, -1.05194, 1.05028, -1.04852, -1.05192, 1.05159, -1.05063]"
16,"[1, 1, 1, 0, 1, 1, 0, 0]","[1, 1, 1, 0, 1, 1, 0, 0]",,"[1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0]","[-0.53727, -0.57488, 2.30703, -1.38989, -1.42165, 1.75916, -2.76946, -1.03892, 1.42239, 1.18078, -0.91344, 1.28994, 2.05369, -0.74311, 0.20834, 1.29987]","[-1.05115, -1.05186, -1.04832, 1.0473, -1.05042, -1.05112, 1.04976, 1.05038]"
17,"[1, 1, 1, 0, 1, 0, 1, 1]","[1, 1, 1, 0, 1, 0, 1, 1]",,"[0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1]","[0.41453, -1.31942, 0.92945, 1.56137, 1.86543, 0.54428, -0.89424, 0.26941, -0.64901, 1.35974, -0.92835, -0.75596, -0.22595, 0.16304, 1.75916, -1.75748]","[-1.04974, -1.05474, -1.0497, 1.03692, -1.04949, 1.03392, -1.04748, -1.04618]"
18,"[1, 1, 1, 0, 1, 0, 1, 0]","[1, 1, 1, 0, 1, 0, 1, 0]",,"[1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0]","[-1.98538, 0.11563, -1.33209, 0.0473, -0.90359, -0.46019, 1.89869, -1.83397, 1.34267, -2.06084, 0.90972, 0.61787, 0.70176, 0.39455, -0.06384, 1.02238]","[-1.05158, -1.04633, -1.06458, 1.05331, -1.04757, 1.05216, -1.05213, 1.05196]"
19,"[1, 1, 1, 0, 1, 0, 0, 0]","[0, 0, 1, 0, 1, 1, 1, 0]",,"[0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1]","[0.47517, 0.60756, 0.85955, -1.38192, 0.60849, -0.15536, -1.19546, 0.2639, 0.51677, -1.68389, 0.03825, 1.67226, -1.3224, -0.64773, -1.15846, -0.42875]","[1.0491, 1.05969, -1.03166, 0.2349, -1.04268, -1.05302, -1.03973, 1.04561]"
20,"[1, 1, 1, 0, 0, 1, 1, 1]","[1, 1, 1, 0, 0, 1, 1, 1]",,"[1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1]","[-0.33605, 0.92587, 1.82849, 0.36895, 0.15839, -0.98877, -2.30401, 0.99361, -1.26708, -1.4856, -1.65925, -1.65272, -1.62645, -0.9377, 1.44181, -0.76238]","[-1.04377, -1.02735, -1.04812, 1.05961, 1.0467, -1.01739, -1.04931, -1.04618]"
21,"[1, 1, 1, 0, 0, 1, 1, 0]","[1, 1, 1, 0, 0, 1, 1, 0]",,"[1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]","[-0.60064, -0.50763, -1.08558, -0.05176, -0.80325, 0.48325, 0.9567, -0.54914, 0.51242, 1.31584, 2.8407, 1.26843, 1.49631, -0.35778, 0.15778, 0.03975]","[-1.05006, -1.0489, -1.04337, 1.04104, 1.04221, -1.04968, -1.01286, 1.04271]"
22,"[1, 1, 1, 0, 0, 1, 0, 1]","[1, 1, 1, 0, 0, 1, 0, 1]",,"[1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1]","[-0.26958, 1.49713, -0.99514, 1.10543, -1.31102, -1.11887, 0.78416, 0.65733, 1.90032, 0.83145, 0.68888, -0.75324, 1.93581, 1.96408, -0.62047, -1.02652]","[-1.05047, -1.0369, -1.05295, 1.0501, 1.05139, -1.05243, 1.05287, -1.05077]"
23,"[1, 1, 1, 0, 0, 1, 0, 0]","[1, 1, 1, 0, 0, 1, 0, 0]",,"[0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0]","[0.17947, -1.49629, 0.68349, -1.26051, 1.23058, -0.10671, -0.48171, -1.39402, -1.30379, 1.95619, -2.32631, 1.04927, -1.35248, -2.05959, 0.51488, 1.25869]","[-1.04693, -1.04617, -1.04268, 1.04624, 1.05895, -1.04731, 1.04503, 1.0453]"
24,"[1, 1, 1, 0, 0, 0, 1, 1]","[1, 1, 1, 0, 0, 0, 1, 1]",,"[1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0]","[-1.68074, -1.30092, 1.85911, 1.17217, -2.03094, 1.53931, -0.25518, 0.41568, 0.65864, 2.63959, -0.40703, -1.82442, 1.49964, -0.92031, 1.10811, 0.05983]","[-1.06021, -1.03495, -1.05706, 1.05071, 1.05248, 1.0498, -1.05874, -1.05264]"
25,"[1, 1, 1, 0, 0, 0, 1, 0]","[1, 1, 1, 0, 0, 0, 1, 0]",,"[0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0]","[0.88132, 0.708, -1.48993, -1.51666, 0.20801, -1.22059, 1.38397, -0.4635, -0.44998, -0.06016, 0.51126, 1.51104, -0.63487, 2.29625, -1.32894, 1.78345]","[-1.05187, -1.05415, -1.05372, 1.0503, 1.05259, 1.05182, -1.05346, 1.05165]"
26,"[1, 1, 1, 0, 0, 0, 0, 1]","[1, 1, 1, 0, 0, 0, 0, 1]",,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]","[1.8191, -1.82153, -1.07683, 0.79539, 1.73266, 2.42953, 1.49351, 0.66224, 1.22995, 0.34118, 0.68667, -1.23258, -1.13172, -1.42897, -1.07495, -1.25544]","[-1.05352, -1.05212, -1.04815, 1.05131, 1.05202, 1.04831, 1.04869, -1.05173]"
27,"[1, 1, 1, 0, 0, 0, 0, 0]","[1, 1, 1, 0, 0, 0, 0, 0]",,"[1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]","[-1.22973, 0.51011, 1.45958, -0.50405, -0.53142, -0.91453, -0.58556, -0.4615, 0.78224, -1.08519, -0.72784, 0.6428, 2.33447, 1.14925, 1.2438, -0.23316]","[-1.04644, -1.05438, -1.05486, 1.07264, 1.06336, 1.06928, 1.07465, 1.0781]"
28,"[1, 1, 0, 1, 1, 1, 1, 1]","[1, 1, 0, 1, 1, 1, 1, 1]",,"[0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]","[0.02019, -1.44766, 0.42426, -1.12036, -0.97728, -1.81505, -0.59919, 1.60314, 0.00022, 2.1507, -1.53464, 0.14811, 0.93948, 0.6061, 0.41144, -0.06924]","[-1.04878, -1.04995, 1.04861, -1.05257, -1.04977, -1.05074, -1.05041, -1.05052]"
29,"[1, 1, 0, 1, 1, 1, 1, 0]","[1, 1, 0, 1, 1, 1, 1, 0]",,"[0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0]","[1.8347, 0.16467, -1.21022, 1.58752, 0.74848, 0.94702, 1.12722, -0.18573, -1.38548, -1.40726, 0.6059, -0.62196, -1.39415, -1.02325, -0.34786, 1.60079]","[-1.05152, -1.05221, 1.05328, -1.05248, -1.0513, -1.05118, -1.0521, 1.05109]"
30,"[1, 1, 0, 1, 1, 1, 0, 1]","[0, 1, 0, 1, 1, 1, 0, 1]",,"[0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1]","[1.12532, -2.15587, -0.41318, -0.98695, 0.23944, 0.66769, -0.44294, 1.04522, -0.7206, 1.71957, 0.54484, 1.47104, -0.78615, 1.90183, -2.65674, -0.48313]","[0.94422, -1.03019, 1.02754, -1.04694, -1.05179, -1.05078, 1.04049, -1.04546]"
31,"[1, 1, 0, 1, 1, 1, 0, 0]","[1, 1, 0, 1, 1, 1, 0, 0]",,"[1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0]","[-0.67918, 1.38089, 2.79957, 0.89844, -1.60289, 1.09851, -0.47958, -0.87997, 1.10687, -1.0654, -0.88219, -1.64779, 1.79494, -0.12637, 1.01229, 1.5179]","[-1.05069, -1.05432, 1.04999, -1.05275, -1.05245, -1.05038, 1.05045, 1.05084]"
32,"[1, 1, 0, 1, 1, 0, 1, 1]","[1, 1, 0, 1, 1, 0, 1, 1]",,"[0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1]","[1.15053, 1.37686, 0.0476, -1.14714, 1.10257, 1.39016, -1.32865, 1.33419, -0.401, -0.21321, -1.77401, 0.40195, -1.1186, -0.47215, 1.28967, -1.39328]","[-1.0491, -1.05124, 1.05559, -1.04997, -1.04872, 1.05403, -1.05061, -1.04944]"
33,"[1, 1, 0, 1, 1, 0, 1, 0]","[1, 1, 0, 1, 0, 0, 0, 0]",,"[1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0]","[-1.14441, -0.74835, -1.77377, 0.43711, -0.86872, -0.75364, -0.35279, -0.59815, 1.02499, 1.16606, -0.40789, -1.34598, 0.09485, 1.42349, -1.84626, 1.26626]","[-1.03922, -1.02634, 1.04554, -1.01866, 1.01452, 1.04892, 1.04918, 1.04369]"
34,"[1, 1, 0, 1, 1, 0, 0, 0]","[1, 1, 0, 1, 1, 0, 0, 0]",,"[0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0]","[0.06722, -1.83522, 1.62343, 0.83017, 1.2715, -0.35036, -0.52776, -0.86066, -0.72026, 0.39118, -0.73897, -0.54188, -0.31734, 0.70934, 1.9686, 2.44334]","[-1.04944, -1.05374, 1.05367, -1.05396, -1.05247, 1.05349, 1.05366, 1.05324]"
35,"[1, 1, 0, 1, 0, 1, 1, 1]","[1, 1, 0, 1, 0, 1, 1, 1]",,"[0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1]","[0.31039, -1.47639, 1.55096, -0.77469, 1.44576, -1.23901, 0.6264, 1.47355, -0.68036, 0.71001, -0.63798, 0.62179, -0.2346, 0.96339, 0.67138, -0.89186]","[-1.0444, -1.02895, 1.05872, -1.02985, 1.05258, -1.04676, -1.04145, -1.04109]"
36,"[1, 1, 0, 1, 0, 1, 0, 0]","[1, 1, 0, 1, 1, 0, 1, 1]",,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0]","[-0.64076, 0.42985, 1.62069, 1.7957, -0.10941, 0.47675, -1.30005, 0.06953, -2.00739, -1.66488, -1.15225, 0.23875, -1.79866, -1.2638, 1.55611, 0.74797]","[-1.04003, -1.02955, 1.05752, -0.74341, -1.0484, 1.0546, -1.04162, -1.03446]"
37,"[1, 1, 0, 1, 0, 0, 1, 1]","[1, 1, 0, 1, 0, 0, 1, 1]",,"[1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1]","[-1.32251, 0.95659, 0.62342, -1.96695, -1.07367, 0.9363, -2.06962, 0.35125, 0.9295, -2.0689, -1.16051, 1.65439, 0.89453, -1.60186, 2.40616, -0.39106]","[-1.04895, -1.05116, 1.05428, -1.05041, 1.05288, 1.05248, -1.05082, -1.04958]"
38,"[1, 1, 0, 1, 0, 0, 1, 0]","[1, 1, 1, 0, 1, 1, 1, 0]",,"[0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0]","[1.19292, -1.34036, 0.12932, 1.79703, 1.03484, -0.991, 0.46683, -1.2915, -0.91723, 2.07746, 1.26044, 0.06435, -0.78641, -0.17615, -1.66269, 0.67185]","[-1.03777, -1.05005, -1.0419, 1.02066, -1.06202, -1.05347, -1.05196, 1.03372]"
39,"[1, 1, 0, 1, 0, 0, 0, 1]","[1, 0, 0, 0, 1, 1, 1, 0]",,"[0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0]","[2.53987, 1.71347, -1.8305, -2.09781, 0.43211, 1.00975, 0.63269, 1.41972, -2.21364, -2.14121, -0.20155, 2.03448, -0.75702, -1.13931, -1.77546, 0.19848]","[-1.04692, 1.03097, 1.05362, 1.04918, -1.04691, -1.06128, -1.05553, 1.05445]"
40,"[1, 1, 0, 0, 1, 1, 1, 1]","[1, 1, 0, 0, 1, 1, 1, 1]",,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1]","[1.80928, 0.24109, -0.97606, -0.11304, -1.46433, -1.95194, -1.52675, -0.79713, -1.82467, -1.07005, 0.60556, -1.80709, 0.96404, 0.65202, 0.81676, -1.63734]","[-0.91694, -1.02419, 1.06662, 1.05018, -1.06954, -1.06888, -1.06053, -1.06519]"
41,"[1, 1, 0, 0, 1, 1, 1, 0]","[0, 0, 0, 1, 1, 0, 0, 0]",,"[1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0]","[-0.8599, 0.71051, -0.10559, -0.58895, 0.45137, 1.06673, 0.09132, 0.30438, 0.83455, 2.16783, -1.42984, 1.72204, -0.84202, -1.67929, 0.08033, 0.22035]","[1.03847, 1.04918, 1.02234, -0.94126, -1.04705, 1.04068, 1.04083, 1.03943]"
42,"[1, 1, 0, 0, 1, 1, 0, 1]","[1, 1, 0, 0, 1, 1, 0, 1]",,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1]","[0.88421, 1.2305, 1.28269, 1.92179, 2.25766, -1.23894, 1.21646, 1.59837, 1.70148, -1.01616, -1.06144, -0.91935, -0.90014, 0.61785, -1.21429, -0.8352]","[-1.05176, -1.0529, 1.05223, 1.05055, -1.04406, -1.05379, 1.05238, -1.0532]"
43,"[1, 1, 0, 0, 1, 1, 0, 0]","[1, 1, 0, 0, 1, 1, 0, 0]",,"[0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]","[0.92182, -0.45418, -0.68432, -1.16295, 0.0881, 1.88623, -1.87143, -0.0859, -1.5919, 0.72884, 1.67889, 1.89224, 0.12434, 0.43799, 0.88918, 0.71558]","[-1.05327, -1.05172, 1.04563, 1.05037, -1.04693, -1.04508, 1.04126, 1.05066]"
44,"[1, 1, 0, 0, 1, 0, 1, 1]","[1, 1, 0, 0, 1, 0, 1, 1]",,"[1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1]","[-0.38754, -1.13336, -1.52846, 1.25356, 0.25461, 2.21592, -0.39867, 0.45195, 1.43755, 1.20813, 0.71529, 0.14285, -0.65278, -0.00725, 1.69649, -0.73157]","[-1.04802, -1.00192, 1.02725, 1.05291, -1.04727, 1.05907, -1.04781, -1.04196]"
45,"[1, 1, 0, 0, 1, 0, 1, 0]","[1, 1, 0, 0, 1, 0, 1, 0]",,"[0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0]","[0.92036, 0.74349, 1.50644, -0.47133, -1.63614, -1.14184, 0.97946, -1.1117, -2.14433, -0.6727, -0.54247, 0.21291, 1.47759, 1.33729, -0.3315, 1.71011]","[-1.05187, -1.05305, 1.05064, 1.05015, -1.04998, 1.05175, -1.05328, 1.05145]"
46,"[1, 1, 0, 0, 1, 0, 0, 1]","[1, 1, 0, 0, 1, 0, 0, 1]",,"[1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1]","[-0.54958, -2.08619, -0.14782, 0.46907, -0.72226, 0.02929, 1.71384, 1.75573, -0.96941, 0.05115, -1.38853, -0.76906, 0.286, -1.32775, -1.29956, -0.97391]","[-1.05362, -1.05363, 1.06118, 1.0526, -1.05168, 1.05229, 1.05199, -1.0533]"
47,"[1, 1, 0, 0, 1, 0, 0, 0]","[1, 0, 0, 1, 0, 0, 1, 0]",,"[1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0]","[-0.74003, 0.36968, -1.41273, -0.44979, 1.91391, -1.19007, 0.06727, -1.84033, 0.71894, -1.24246, 1.53452, -0.40673, -1.97654, 0.68868, 0.39228, 0.82495]","[-1.04273, 0.3091, 1.07763, -0.56148, 1.01812, 1.04355, -1.05384, 1.04937]"
48,"[1, 1, 0, 0, 0, 1, 1, 1]","[1, 1, 0, 0, 0, 1, 1, 1]",,"[1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1]","[-0.75617, 1.00708, 0.02441, -0.16201, 1.74349, -0.73063, -0.64388, 1.50386, 0.26636, -0.56241, 1.36835, -0.50224, -1.20423, -0.59346, 0.71979, -2.13212]","[-1.03871, -1.02659, 1.06656, 1.01769, 1.05784, -1.02975, -1.04316, -1.03898]"
49,"[1, 1, 0, 0, 0, 1, 1, 0]","[1, 1, 0, 0, 0, 1, 1, 0]",,"[0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1]","[1.5413, -1.57586, 0.50223, -1.057, -2.02899, 1.13188, 1.20096, -0.7863, -0.11097, 0.59738, -1.67409, 0.36156, 1.08582, -0.70514, -1.7999, -0.16579]","[-1.04577, -1.07018, 1.06436, 1.05834, 1.06418, -1.0672, -1.05327, 1.05664]"
50,"[1, 1, 0, 0, 0, 1, 0, 1]","[1, 1, 0, 0, 0, 1, 0, 1]",,"[0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1]","[0.55753, 0.85009, -0.85755, 1.63975, -1.40057, -0.47631, 2.57493, 2.06219, -2.0592, -1.5634, -0.87263, -1.24063, 0.52396, 1.17009, -1.67154, -0.84918]","[-1.0519, -1.05261, 1.04197, 1.05145, 1.05172, -1.05294, 1.0522, -1.05308]"
51,"[1, 1, 0, 0, 0, 1, 0, 0]","[1, 1, 0, 0, 0, 1, 0, 0]",,"[1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0]","[-1.12632, -1.41509, -0.54278, -1.77331, 1.58641, 1.48657, -0.22539, -1.15608, 1.5634, 0.48216, 0.40515, 0.40191, -1.06441, -1.92627, 0.66533, 0.72038]","[-1.05102, -1.05095, 1.04795, 1.04891, 1.04628, -1.05103, 1.05072, 1.05122]"
52,"[1, 1, 0, 0, 0, 0, 1, 1]","[1, 1, 1, 0, 0, 0, 0, 1]",,"[0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1]","[0.69254, -1.78623, -1.95458, 0.80589, -0.41618, 1.22998, 0.58239, 0.82, -0.25708, 0.36966, 0.81897, -0.3562, -0.18027, -1.543, 0.86398, -0.29211]","[-1.0493, -1.03321, -1.03962, 1.04318, 1.05832, 1.0013, 1.03101, -1.02538]"
53,"[1, 1, 0, 0, 0, 0, 1, 0]","[1, 1, 0, 0, 0, 0, 1, 0]",,"[1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0]","[-0.15962, 1.24458, 0.90892, -0.97476, 1.24, -2.01911, 0.66445, -1.47413, 1.86085, -1.46222, -0.96112, 2.25292, -0.98438, 0.05918, -0.85699, 0.40655]","[-1.0517, -1.05358, 1.0504, 1.0501, 1.05376, 1.05158, -1.05321, 1.05162]"
54,"[1, 1, 0, 0, 0, 0, 0, 1]","[1, 1, 0, 0, 0, 0, 0, 1]",,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]","[-0.58914, -1.41119, 0.13889, 0.38179, 1.95634, 1.72522, 2.06969, 0.91628, 1.11265, 1.7304, -0.74518, -0.95934, -0.47464, -0.77357, -0.55099, -0.70364]","[-1.05562, -1.05605, 1.04912, 1.05174, 1.0512, 1.05061, 1.05042, -1.05512]"
