Info positions : [ 7  9 10 11 12 13 14 15]
Target Info positions : [ 7  9 10 11 12 13 14 15]
Frozen positions : [0 1 2 3 4 5 6 8]
embed dim : 64 
Batch size : 8192
Validation SNR : 3.0
Train SNR : 3.0
load training data? True
Number of heads : 1
Number of layers: 2
Positional encoding : static
Print frequency: 100
Num of steps: 12000
combinational training snr:  False
64
Training Model for 8,16 anew
Number of parameters : 100741
Did not find standard validation data
Need to save for: 100
[0/12000] At 3 dB, Loss: 2.0418108, Train BER (3 dB) : 0.4536743, Valid BER: 0.4553375, Tgt BER: 0.4553375, Noiseless BER 0.4488373, Valid BLER : 0.9960938
[8700/12000] At 3 dB, Loss: 0.3043860, Train BER (3 dB) : 0.1086731, Valid BER: 0.0911865, Tgt BER: 0.0911865, Noiseless BER 0.0000000, Valid BLER : 0.3046875
[8800/12000] At 3 dB, Loss: 0.3038641, Train BER (3 dB) : 0.1082764, Valid BER: 0.0914612, Tgt BER: 0.0914612, Noiseless BER 0.0000000, Valid BLER : 0.3074951
[8900/12000] At 3 dB, Loss: 0.3143204, Train BER (3 dB) : 0.1116486, Valid BER: 0.0914459, Tgt BER: 0.0914459, Noiseless BER 0.0000000, Valid BLER : 0.2945557
[9000/12000] At 3 dB, Loss: 0.3030928, Train BER (3 dB) : 0.1073151, Valid BER: 0.0900421, Tgt BER: 0.0900421, Noiseless BER 0.0000000, Valid BLER : 0.2927246
[9100/12000] At 3 dB, Loss: 0.3072081, Train BER (3 dB) : 0.1087494, Valid BER: 0.0855255, Tgt BER: 0.0855255, Noiseless BER 0.0000000, Valid BLER : 0.2934570
[9200/12000] At 3 dB, Loss: 0.3010132, Train BER (3 dB) : 0.1057434, Valid BER: 0.0864105, Tgt BER: 0.0864105, Noiseless BER 0.0000000, Valid BLER : 0.2861328
[9300/12000] At 3 dB, Loss: 0.3055583, Train BER (3 dB) : 0.1077118, Valid BER: 0.0918121, Tgt BER: 0.0918121, Noiseless BER 0.0000000, Valid BLER : 0.3055420
[9400/12000] At 3 dB, Loss: 0.3010647, Train BER (3 dB) : 0.1070862, Valid BER: 0.0882263, Tgt BER: 0.0882263, Noiseless BER 0.0000000, Valid BLER : 0.2908936
[9500/12000] At 3 dB, Loss: 0.3064389, Train BER (3 dB) : 0.1096954, Valid BER: 0.0907440, Tgt BER: 0.0907440, Noiseless BER 0.0000000, Valid BLER : 0.3000488
[9600/12000] At 3 dB, Loss: 0.3055379, Train BER (3 dB) : 0.1089325, Valid BER: 0.0904083, Tgt BER: 0.0904083, Noiseless BER 0.0000000, Valid BLER : 0.2978516
[9700/12000] At 3 dB, Loss: 0.3033383, Train BER (3 dB) : 0.1083527, Valid BER: 0.0885315, Tgt BER: 0.0885315, Noiseless BER 0.0000000, Valid BLER : 0.2916260
[9800/12000] At 3 dB, Loss: 0.2948987, Train BER (3 dB) : 0.1048889, Valid BER: 0.0891266, Tgt BER: 0.0891266, Noiseless BER 0.0000000, Valid BLER : 0.2980957
[9900/12000] At 3 dB, Loss: 0.3022731, Train BER (3 dB) : 0.1064758, Valid BER: 0.0887299, Tgt BER: 0.0887299, Noiseless BER 0.0000000, Valid BLER : 0.2947998
[10000/12000] At 3 dB, Loss: 0.2952403, Train BER (3 dB) : 0.1049652, Valid BER: 0.0873108, Tgt BER: 0.0873108, Noiseless BER 0.0000000, Valid BLER : 0.2900391
[10100/12000] At 3 dB, Loss: 0.2989176, Train BER (3 dB) : 0.1062469, Valid BER: 0.0905304, Tgt BER: 0.0905304, Noiseless BER 0.0000000, Valid BLER : 0.2968750
[10200/12000] At 3 dB, Loss: 0.2901289, Train BER (3 dB) : 0.1031342, Valid BER: 0.0942841, Tgt BER: 0.0942841, Noiseless BER 0.0000000, Valid BLER : 0.3094482
[10300/12000] At 3 dB, Loss: 0.3092495, Train BER (3 dB) : 0.1097107, Valid BER: 0.0927124, Tgt BER: 0.0927124, Noiseless BER 0.0000000, Valid BLER : 0.3044434
[10400/12000] At 3 dB, Loss: 0.2998624, Train BER (3 dB) : 0.1056061, Valid BER: 0.0918427, Tgt BER: 0.0918427, Noiseless BER 0.0000000, Valid BLER : 0.2951660
[10500/12000] At 3 dB, Loss: 0.2984372, Train BER (3 dB) : 0.1062927, Valid BER: 0.0861969, Tgt BER: 0.0861969, Noiseless BER 0.0000000, Valid BLER : 0.2867432
[10600/12000] At 3 dB, Loss: 0.2968985, Train BER (3 dB) : 0.1046753, Valid BER: 0.0898285, Tgt BER: 0.0898285, Noiseless BER 0.0000000, Valid BLER : 0.2991943
[10700/12000] At 3 dB, Loss: 0.2937798, Train BER (3 dB) : 0.1041718, Valid BER: 0.0899200, Tgt BER: 0.0899200, Noiseless BER 0.0000000, Valid BLER : 0.2991943
[10800/12000] At 3 dB, Loss: 0.2920210, Train BER (3 dB) : 0.1037598, Valid BER: 0.0870361, Tgt BER: 0.0870361, Noiseless BER 0.0000000, Valid BLER : 0.2915039
[10900/12000] At 3 dB, Loss: 0.2932727, Train BER (3 dB) : 0.1039581, Valid BER: 0.0865784, Tgt BER: 0.0865784, Noiseless BER 0.0000000, Valid BLER : 0.2911377
[11000/12000] At 3 dB, Loss: 0.3029144, Train BER (3 dB) : 0.1079407, Valid BER: 0.0933838, Tgt BER: 0.0933838, Noiseless BER 0.0000000, Valid BLER : 0.3035889
[11100/12000] At 3 dB, Loss: 0.2933071, Train BER (3 dB) : 0.1042328, Valid BER: 0.0871277, Tgt BER: 0.0871277, Noiseless BER 0.0000000, Valid BLER : 0.2922363
[11200/12000] At 3 dB, Loss: 0.2870257, Train BER (3 dB) : 0.1023407, Valid BER: 0.0908051, Tgt BER: 0.0908051, Noiseless BER 0.0000000, Valid BLER : 0.2982178
[11300/12000] At 3 dB, Loss: 0.2886289, Train BER (3 dB) : 0.1027069, Valid BER: 0.0881653, Tgt BER: 0.0881653, Noiseless BER 0.0000000, Valid BLER : 0.2899170
[11400/12000] At 3 dB, Loss: 0.2919208, Train BER (3 dB) : 0.1031494, Valid BER: 0.0893250, Tgt BER: 0.0893250, Noiseless BER 0.0000000, Valid BLER : 0.3020020
[11500/12000] At 3 dB, Loss: 0.2997266, Train BER (3 dB) : 0.1061401, Valid BER: 0.0898438, Tgt BER: 0.0898438, Noiseless BER 0.0000000, Valid BLER : 0.2952881
[11600/12000] At 3 dB, Loss: 0.2941304, Train BER (3 dB) : 0.1033478, Valid BER: 0.0870667, Tgt BER: 0.0870667, Noiseless BER 0.0000000, Valid BLER : 0.2863770
[11700/12000] At 3 dB, Loss: 0.2886478, Train BER (3 dB) : 0.1022339, Valid BER: 0.0876617, Tgt BER: 0.0876617, Noiseless BER 0.0000000, Valid BLER : 0.2965088
[11800/12000] At 3 dB, Loss: 0.2833686, Train BER (3 dB) : 0.0991211, Valid BER: 0.0908203, Tgt BER: 0.0908203, Noiseless BER 0.0000000, Valid BLER : 0.2980957
[11900/12000] At 3 dB, Loss: 0.2923667, Train BER (3 dB) : 0.1029358, Valid BER: 0.0900879, Tgt BER: 0.0900879, Noiseless BER 0.0000000, Valid BLER : 0.3005371
Complete
=========== Iteration 100===========
====== Bit 0======
16
[((0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1), 0.0), ((0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0), 0.418), ((0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1), 0.4336), ((0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0), 0.4375), ((0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0), 0.4375)]
====== Bit 1======
16
[((1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1), 0.3555), ((0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1), 0.375), ((0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1), 0.3828), ((0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0), 0.3867), ((0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1), 0.3867)]
====== Bit 2======
16
[((0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1), 0.1484), ((0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1), 0.2695), ((0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1), 0.2734), ((0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1), 0.2773), ((1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1), 0.2891)]
====== Bit 3======
16
