Info positions : [0 1 2 3]
Target Info positions : [0 1 2 3]
Frozen positions : []
Code : polar 
Rate Profile : polar
Validation SNR : 5.5
Number of heads : 1
Number of layers: 6
Positional encoding : static
Layers : compelete
Print frequency: 20
Num of steps: 1000
Training Model for 4,4 anew
Number of parameters : 75725
Did not find standard validation data
Need to save for: 5000
[0/1000] At 5 dB, Loss: 1.0275506, Train BER (5 dB) : 0.4457397, Valid BER: 0.4978027, Tgt BER: 0.4978027, Noiseless BER 0.5000000, Valid BLER : 0.9361572
[820/1000] At 5 dB, Loss: 0.2487552, Train BER (5 dB) : 0.0674744, Valid BER: 0.4999695, Tgt BER: 0.4999695, Noiseless BER 0.0000000, Valid BLER : 0.9420166
[840/1000] At 5 dB, Loss: 0.2591510, Train BER (5 dB) : 0.0704956, Valid BER: 0.5014648, Tgt BER: 0.5014648, Noiseless BER 0.0000000, Valid BLER : 0.9389648
[860/1000] At 5 dB, Loss: 0.2287306, Train BER (5 dB) : 0.0616760, Valid BER: 0.5003967, Tgt BER: 0.5003967, Noiseless BER 0.0000000, Valid BLER : 0.9373779
[880/1000] At 5 dB, Loss: 0.2183935, Train BER (5 dB) : 0.0586548, Valid BER: 0.5012207, Tgt BER: 0.5012207, Noiseless BER 0.0000000, Valid BLER : 0.9410400
[900/1000] At 5 dB, Loss: 0.2325330, Train BER (5 dB) : 0.0627747, Valid BER: 0.5037842, Tgt BER: 0.5037842, Noiseless BER 0.0000000, Valid BLER : 0.9426270
[920/1000] At 5 dB, Loss: 0.2481696, Train BER (5 dB) : 0.0673523, Valid BER: 0.4991150, Tgt BER: 0.4991150, Noiseless BER 0.0000000, Valid BLER : 0.9353027
[940/1000] At 5 dB, Loss: 0.2297186, Train BER (5 dB) : 0.0619812, Valid BER: 0.4981079, Tgt BER: 0.4981079, Noiseless BER 0.0000000, Valid BLER : 0.9368896
[960/1000] At 5 dB, Loss: 0.2471488, Train BER (5 dB) : 0.0671082, Valid BER: 0.5032043, Tgt BER: 0.5032043, Noiseless BER 0.0000000, Valid BLER : 0.9371338
[980/1000] At 5 dB, Loss: 0.2425606, Train BER (5 dB) : 0.0657654, Valid BER: 0.4996033, Tgt BER: 0.4996033, Noiseless BER 0.0000000, Valid BLER : 0.9340820
Complete
