Info positions : [0 1 2 3 4 5 6 7]
Target Info positions : [0 1 2 3 4 5 6 7]
Frozen positions : []
Code : polar 
Rate Profile : polar
Validation SNR : 5.5
Number of heads : 1
Number of layers: 6
Positional encoding : static
Layers : compelete
Print frequency: 20
Num of steps: 3000
Training Model for 8,8 anew
Number of parameters : 75853
Did not find standard validation data
Need to save for: 5000
[0/3000] At 5 dB, Loss: 1.1313910, Train BER (5 dB) : 0.4577484, Valid BER: 0.4980011, Tgt BER: 0.4980011, Noiseless BER 0.6250000, Valid BLER : 0.9954834
[1480/3000] At 5 dB, Loss: 0.3309645, Train BER (5 dB) : 0.0938263, Valid BER: 0.4986877, Tgt BER: 0.4986877, Noiseless BER 0.0000000, Valid BLER : 0.9968262
[1500/3000] At 5 dB, Loss: 0.3211737, Train BER (5 dB) : 0.0913391, Valid BER: 0.5017853, Tgt BER: 0.5017853, Noiseless BER 0.0000000, Valid BLER : 0.9960938
[1520/3000] At 5 dB, Loss: 0.3331202, Train BER (5 dB) : 0.0949402, Valid BER: 0.4996490, Tgt BER: 0.4996490, Noiseless BER 0.0000000, Valid BLER : 0.9956055
[1540/3000] At 5 dB, Loss: 0.3239693, Train BER (5 dB) : 0.0920258, Valid BER: 0.5012512, Tgt BER: 0.5012512, Noiseless BER 0.0000000, Valid BLER : 0.9958496
[1560/3000] At 5 dB, Loss: 0.3265777, Train BER (5 dB) : 0.0928345, Valid BER: 0.5002441, Tgt BER: 0.5002441, Noiseless BER 0.0000000, Valid BLER : 0.9962158
[1580/3000] At 5 dB, Loss: 0.3262450, Train BER (5 dB) : 0.0929260, Valid BER: 0.5061188, Tgt BER: 0.5061188, Noiseless BER 0.0000000, Valid BLER : 0.9956055
[1600/3000] At 5 dB, Loss: 0.3282940, Train BER (5 dB) : 0.0933533, Valid BER: 0.4991150, Tgt BER: 0.4991150, Noiseless BER 0.0000000, Valid BLER : 0.9951172
[1620/3000] At 5 dB, Loss: 0.3275365, Train BER (5 dB) : 0.0929108, Valid BER: 0.5023041, Tgt BER: 0.5023041, Noiseless BER 0.0000000, Valid BLER : 0.9949951
[1640/3000] At 5 dB, Loss: 0.3303774, Train BER (5 dB) : 0.0938416, Valid BER: 0.4983826, Tgt BER: 0.4983826, Noiseless BER 0.0000000, Valid BLER : 0.9954834
[1660/3000] At 5 dB, Loss: 0.3382049, Train BER (5 dB) : 0.0963593, Valid BER: 0.5014648, Tgt BER: 0.5014648, Noiseless BER 0.0000000, Valid BLER : 0.9956055
[1680/3000] At 5 dB, Loss: 0.3272393, Train BER (5 dB) : 0.0927887, Valid BER: 0.4951935, Tgt BER: 0.4951935, Noiseless BER 0.0000000, Valid BLER : 0.9963379
[1700/3000] At 5 dB, Loss: 0.3094606, Train BER (5 dB) : 0.0873871, Valid BER: 0.5037842, Tgt BER: 0.5037842, Noiseless BER 0.0000000, Valid BLER : 0.9969482
[1720/3000] At 5 dB, Loss: 0.3340782, Train BER (5 dB) : 0.0948334, Valid BER: 0.5005188, Tgt BER: 0.5005188, Noiseless BER 0.0000000, Valid BLER : 0.9954834
[1740/3000] At 5 dB, Loss: 0.3078978, Train BER (5 dB) : 0.0868683, Valid BER: 0.5041962, Tgt BER: 0.5041962, Noiseless BER 0.0000000, Valid BLER : 0.9963379
[1760/3000] At 5 dB, Loss: 0.3173885, Train BER (5 dB) : 0.0898743, Valid BER: 0.5019684, Tgt BER: 0.5019684, Noiseless BER 0.0000000, Valid BLER : 0.9954834
[1780/3000] At 5 dB, Loss: 0.3115896, Train BER (5 dB) : 0.0879517, Valid BER: 0.5012970, Tgt BER: 0.5012970, Noiseless BER 0.0000000, Valid BLER : 0.9967041
[1800/3000] At 5 dB, Loss: 0.3300798, Train BER (5 dB) : 0.0937500, Valid BER: 0.4997101, Tgt BER: 0.4997101, Noiseless BER 0.0000000, Valid BLER : 0.9960938
[1820/3000] At 5 dB, Loss: 0.3251151, Train BER (5 dB) : 0.0919952, Valid BER: 0.4989319, Tgt BER: 0.4989319, Noiseless BER 0.0000000, Valid BLER : 0.9948730
[1840/3000] At 5 dB, Loss: 0.3308540, Train BER (5 dB) : 0.0937195, Valid BER: 0.5001831, Tgt BER: 0.5001831, Noiseless BER 0.0000000, Valid BLER : 0.9962158
[1860/3000] At 5 dB, Loss: 0.3195859, Train BER (5 dB) : 0.0903473, Valid BER: 0.4997864, Tgt BER: 0.4997864, Noiseless BER 0.0000000, Valid BLER : 0.9962158
[1880/3000] At 5 dB, Loss: 0.3222969, Train BER (5 dB) : 0.0916138, Valid BER: 0.5003815, Tgt BER: 0.5003815, Noiseless BER 0.0000000, Valid BLER : 0.9953613
[1900/3000] At 5 dB, Loss: 0.3203809, Train BER (5 dB) : 0.0906525, Valid BER: 0.5027313, Tgt BER: 0.5027313, Noiseless BER 0.0000000, Valid BLER : 0.9962158
[1920/3000] At 5 dB, Loss: 0.3273088, Train BER (5 dB) : 0.0930786, Valid BER: 0.5027924, Tgt BER: 0.5027924, Noiseless BER 0.0000000, Valid BLER : 0.9975586
[1940/3000] At 5 dB, Loss: 0.3202800, Train BER (5 dB) : 0.0906830, Valid BER: 0.5007477, Tgt BER: 0.5007477, Noiseless BER 0.0000000, Valid BLER : 0.9960938
