Info positions : [ 7  9 10 11 12 13 14 15]
Target Info positions : [ 7  9 10 11 12 13 14 15]
Frozen positions : [0 1 2 3 4 5 6 8]
Code : polar 
Rate Profile : polar
Validation SNR : 1.2
Number of heads : 8
Number of layers: 6
Positional encoding : static
Layers : compelete
Print frequency: 100
Num of steps: 20000
Training Model for 8,16 anew
Number of parameters : 299661
Did not find standard validation data
Need to save for: 5000
[0/20000] At 1 dB, Loss: 1.6820605, Train BER (1 dB) : 0.5298920, Valid BER: 0.4490204, Tgt BER: 0.4490204, Noiseless BER 0.4340363, Valid BLER : 0.9543457
[4700/20000] At 1 dB, Loss: 0.4729549, Train BER (1 dB) : 0.2076416, Valid BER: 0.2080383, Tgt BER: 0.2080383, Noiseless BER 0.0000000, Valid BLER : 0.6312256
[4800/20000] At 1 dB, Loss: 0.4767264, Train BER (1 dB) : 0.2106018, Valid BER: 0.2041168, Tgt BER: 0.2041168, Noiseless BER 0.0000000, Valid BLER : 0.6324463
[4900/20000] At 1 dB, Loss: 0.4696984, Train BER (1 dB) : 0.2049103, Valid BER: 0.2069550, Tgt BER: 0.2069550, Noiseless BER 0.0000000, Valid BLER : 0.6477051
[5000/20000] At 1 dB, Loss: 0.4625006, Train BER (1 dB) : 0.2036285, Valid BER: 0.2078705, Tgt BER: 0.2078705, Noiseless BER 0.0000000, Valid BLER : 0.6453857
[5100/20000] At 1 dB, Loss: 0.4760235, Train BER (1 dB) : 0.2091980, Valid BER: 0.2059326, Tgt BER: 0.2059326, Noiseless BER 0.0000000, Valid BLER : 0.6474609
[5200/20000] At 1 dB, Loss: 0.4676830, Train BER (1 dB) : 0.2057953, Valid BER: 0.2074127, Tgt BER: 0.2074127, Noiseless BER 0.0000000, Valid BLER : 0.6390381
[5300/20000] At 1 dB, Loss: 0.4776644, Train BER (1 dB) : 0.2088623, Valid BER: 0.2017212, Tgt BER: 0.2017212, Noiseless BER 0.0000000, Valid BLER : 0.6315918
[5400/20000] At 1 dB, Loss: 0.4694818, Train BER (1 dB) : 0.2052460, Valid BER: 0.2028961, Tgt BER: 0.2028961, Noiseless BER 0.0000000, Valid BLER : 0.6302490
[5500/20000] At 1 dB, Loss: 0.4775411, Train BER (1 dB) : 0.2088013, Valid BER: 0.1998596, Tgt BER: 0.1998596, Noiseless BER 0.0000000, Valid BLER : 0.6296387
[5600/20000] At 1 dB, Loss: 0.4753999, Train BER (1 dB) : 0.2070923, Valid BER: 0.2086945, Tgt BER: 0.2086945, Noiseless BER 0.0000000, Valid BLER : 0.6226807
